name,Eventos,Valor Empenhado,Grupo
Crato/CE,3,0.0,No earmark
Deputado Irapuan Pinheiro/CE,1,0.0,No earmark
Farias Brito/CE,1,0.0,No earmark
Fortaleza/CE,1,250000.0,Received
Guaramiranga/CE,1,0.0,No earmark
Ibaretama/CE,1,0.0,No earmark
Independência/CE,1,0.0,No earmark
Irauçuba/CE,5,0.0,No earmark
Itapajé/CE,2,0.0,No earmark
Itapipoca/CE,1,0.0,No earmark
Lavras da Mangabeira/CE,1,0.0,No earmark
Limoeiro do Norte/CE,1,0.0,No earmark
Massapê/CE,1,0.0,No earmark
Meruoca/CE,1,0.0,No earmark
Milhã/CE,1,0.0,No earmark
Missão Velha/CE,2,0.0,No earmark
Mombaça/CE,1,0.0,No earmark
Nova Russas/CE,3,0.0,No earmark
Pacatuba/CE,1,0.0,No earmark
Paraipaba/CE,7,0.0,No earmark
Pedra Branca/CE,1,0.0,No earmark
Penaforte/CE,1,0.0,No earmark
Pindoretama/CE,1,0.0,No earmark
Piquet Carneiro/CE,1,0.0,No earmark
Poranga/CE,2,0.0,No earmark
Porteiras/CE,1,0.0,No earmark
Quixeramobim/CE,1,0.0,No earmark
Quixeré/CE,1,0.0,No earmark
Redenção/CE,3,0.0,No earmark
Santa Quitéria/CE,1,0.0,No earmark
São Benedito/CE,1,0.0,No earmark
São Gonçalo do Amarante/CE,1,0.0,No earmark
Senador Pompeu/CE,1,0.0,No earmark
Sobral/CE,2,0.0,No earmark
Tabuleiro do Norte/CE,1,0.0,No earmark
Tururu/CE,1,0.0,No earmark
Umirim/CE,1,0.0,No earmark
Uruburetama/CE,17,0.0,No earmark
Várzea Alegre/CE,1,0.0,No earmark
Afonso Bezerra/RN,2,0.0,No earmark
Alexandria/RN,1,0.0,No earmark
Almino Afonso/RN,1,0.0,No earmark
Angicos/RN,1,0.0,No earmark
Apodi/RN,2,0.0,No earmark
Baía Formosa/RN,1,0.0,No earmark
Caiçara do Rio do Vento/RN,2,0.0,No earmark
Caicó/RN,1,0.0,No earmark
Canguaretama/RN,11,0.0,No earmark
Caraúbas/RN,1,0.0,No earmark
Ceará-Mirim/RN,1,0.0,No earmark
Cerro Corá/RN,1,0.0,No earmark
Coronel Ezequiel/RN,1,0.0,No earmark
Coronel João Pessoa/RN,1,0.0,No earmark
Doutor Severiano/RN,2,0.0,No earmark
Parnamirim/RN,4,0.0,No earmark
Extremoz/RN,2,0.0,No earmark
Felipe Guerra/RN,1,0.0,No earmark
Goianinha/RN,1,0.0,No earmark
Ielmo Marinho/RN,1,0.0,No earmark
Ipanguaçu/RN,4,0.0,No earmark
Itajá/RN,1,0.0,No earmark
Janduís/RN,1,0.0,No earmark
Boa Saúde/RN,2,0.0,No earmark
Jardim de Angicos/RN,1,0.0,No earmark
Jucurutu/RN,2,0.0,No earmark
Lagoa de Pedras/RN,1,0.0,No earmark
Lagoa Nova/RN,1,0.0,No earmark
Lajes/RN,1,0.0,No earmark
Lajes Pintadas/RN,1,0.0,No earmark
Macaíba/RN,1,0.0,No earmark
Maxaranguape/RN,5,0.0,No earmark
Monte Alegre/RN,1,0.0,No earmark
Mossoró/RN,1,0.0,No earmark
Natal/RN,4,5750000.0,Received
Nísia Floresta/RN,2,0.0,No earmark
Nova Cruz/RN,2,0.0,No earmark
Parelhas/RN,1,0.0,No earmark
Rio do Fogo/RN,1,0.0,No earmark
Santa Maria/RN,2,0.0,No earmark
Pedra Grande/RN,1,0.0,No earmark
Pedro Avelino/RN,1,0.0,No earmark
Pedro Velho/RN,1,0.0,No earmark
Porto do Mangue/RN,1,0.0,No earmark
Riachuelo/RN,1,0.0,No earmark
Santa Cruz/RN,1,0.0,No earmark
Santana do Matos/RN,1,0.0,No earmark
São José de Mipibu/RN,3,0.0,No earmark
São Miguel do Gostoso/RN,1,0.0,No earmark
São Rafael/RN,1,0.0,No earmark
São Tomé/RN,2,0.0,No earmark
Serrinha/RN,1,0.0,No earmark
Taboleiro Grande/RN,1,0.0,No earmark
Taipu/RN,1,0.0,No earmark
Tenente Laurentino Cruz/RN,1,0.0,No earmark
Timbaúba dos Batistas/RN,1,0.0,No earmark
Touros/RN,2,0.0,No earmark
Triunfo Potiguar/RN,1,0.0,No earmark
Upanema/RN,2,0.0,No earmark
Venha-Ver/RN,1,0.0,No earmark
Baía da Traição/PB,1,0.0,No earmark
Campina Grande/PB,1,500000.0,Received
Conceição/PB,1,0.0,No earmark
Conde/PB,1,0.0,No earmark
Ibiara/PB,1,0.0,No earmark
Lucena/PB,1,0.0,No earmark
Mamanguape/PB,1,0.0,No earmark
Mataraca/PB,1,0.0,No earmark
Abreu e Lima/PE,16,0.0,No earmark
Água Preta/PE,1,0.0,No earmark
